family,model,language,prompt,bleu,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate
open-source,google/gemma-2-2b-it,java,OS,0.0202,0.225,0.8626,0.3107,0.2192,0.0949,0.7351,0.01
open-source,google/gemma-2-2b-it,java,FS,0.0478,0.3073,0.8697,0.919,0.9385,0.4453,0.1464,0.11
open-source-fine-tuned,codegemma_2b_lora_multilang,java,ZS,0.0587,0.3223,0.8742,0.6882,0.5923,0.2409,0.3926,0.115
open-source-fine-tuned,codegemma_2b_lora_multilang,java,OS,0.0599,0.3263,0.873,0.7925,0.6269,0.354,0.3223,0.1825
open-source-fine-tuned,codegemma_2b_lora_multilang,java,FS,0.0535,0.3135,0.8748,0.7166,0.2962,0.1058,0.4718,0.0725
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,ZS,0.071,0.3222,0.8716,0.7164,0.7346,0.4672,0.3121,0.1475
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,OS,0.071,0.3222,0.8716,0.7164,0.7346,0.4672,0.3121,0.1475
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,FS,0.071,0.3222,0.8716,0.7164,0.7346,0.4672,0.3121,0.1475
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,java,ZS,0.0441,0.2889,0.864,0.7911,0.6923,0.438,0.2796,0.2425
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,java,OS,0.0399,0.2726,0.8664,0.5843,0.5808,0.2044,0.4563,0.1625
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,java,FS,0.0503,0.3029,0.8708,0.714,0.5846,0.2372,0.3901,0.125
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,java,ZS,0.0653,0.3142,0.8717,0.7434,0.5385,0.3552,0.3581,0.17
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,java,OS,0.0509,0.2847,0.8678,0.5545,0.6154,0.326,0.4474,0.1075
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,java,FS,0.0556,0.3148,0.8727,0.7548,0.6077,0.1946,0.3662,0.0875
commercial-new,deepseek-chat,javascript,ZS,0.0183,0.201,0.8491,0.4184,0.2694,0.1154,0.6366,0.0075
commercial-new,deepseek-chat,javascript,OS,0.019,0.2044,0.8506,0.4025,0.2989,0.0769,0.6389,0.0125
commercial-new,deepseek-chat,javascript,FS,0.0197,0.2137,0.8516,0.4198,0.3616,0.1154,0.6002,0.0125
commercial-new,gemini-3-flash-preview,javascript,ZS,0.0174,0.1947,0.8494,0.4169,0.3469,0.0769,0.6087,0.0225
commercial-new,gemini-3-flash-preview,javascript,OS,0.021,0.2081,0.8521,0.6056,0.4465,0.0769,0.463,0.0175
commercial-new,gemini-3-flash-preview,javascript,FS,0.0245,0.2361,0.8562,0.7965,0.7232,0.0769,0.2595,0.025
commercial-new,gpt-5.1,javascript,ZS,0.0172,0.1998,0.8469,0.5778,0.572,0.2308,0.437,0.0225
commercial-new,gpt-5.1,javascript,OS,0.0183,0.2042,0.8479,0.5494,0.5572,0.2308,0.4602,0.035
commercial-new,gpt-5.1,javascript,FS,0.0167,0.2042,0.8488,0.4944,0.4797,0.0769,0.5173,0.015
commercial-new,gpt-5.1-codex,javascript,ZS,0.0133,0.1857,0.8447,0.6297,0.4723,0.0385,0.4369,0.0275
commercial-new,gpt-5.1-codex,javascript,OS,0.0126,0.1804,0.8449,0.6706,0.4686,0.0769,0.4102,0.0275
commercial-new,gpt-5.1-codex,javascript,FS,0.0124,0.1753,0.8449,0.6321,0.3764,0.0769,0.4587,0.025
open-source,Qwen/Qwen2.5-1.5B-Instruct,javascript,ZS,0.013,0.1795,0.8462,0.3565,0.2841,0.1154,0.6746,0.0125
open-source,Qwen/Qwen2.5-1.5B-Instruct,javascript,OS,0.0137,0.1818,0.847,0.3608,0.3063,0.1538,0.6647,0.0175
open-source,Qwen/Qwen2.5-1.5B-Instruct,javascript,FS,0.0116,0.1745,0.8495,0.3284,0.1107,0.0769,0.7479,0.015
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,javascript,ZS,0.0115,0.1594,0.8391,0.5637,0.7269,0.2308,0.3912,0.0675
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,javascript,OS,0.0162,0.1966,0.852,0.3374,0.1845,0.0769,0.7104,0.0075
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,javascript,FS,0.0173,0.1862,0.8459,0.6191,0.524,0.2692,0.4096,0.05
open-source,google/codegemma-2b,javascript,ZS,0.0057,0.0976,0.8221,0.4999,0.4649,0.1154,0.5176,0.175
open-source,google/codegemma-2b,javascript,OS,0.0134,0.1633,0.8415,0.2955,0.2768,0.0769,0.7191,0.015
open-source,google/codegemma-2b,javascript,FS,0.0185,0.1945,0.8423,0.6688,0.5904,0.0769,0.3841,0.0375
open-source,google/gemma-2-2b-it,javascript,ZS,0.016,0.1826,0.8504,0.4068,0.3247,0.1154,0.6292,0.0175
open-source,google/gemma-2-2b-it,javascript,OS,0.0186,0.2003,0.8547,0.346,0.1661,0.0769,0.7196,0.0075
open-source,google/gemma-2-2b-it,javascript,FS,0.0202,0.2203,0.8571,0.5053,0.3026,0.0769,0.5753,0.005
open-source-fine-tuned,codegemma_2b_lora_multilang,javascript,ZS,0.0294,0.2446,0.8544,0.7333,0.4797,0.0385,0.3573,0.04
open-source-fine-tuned,codegemma_2b_lora_multilang,javascript,OS,0.0234,0.2341,0.8502,0.8199,0.7048,0.1538,0.2361,0.0475
open-source-fine-tuned,codegemma_2b_lora_multilang,javascript,FS,0.0244,0.2441,0.8612,0.669,0.3026,0.0385,0.4534,0.0075
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,javascript,ZS,0.0241,0.2366,0.8557,0.6979,0.5498,0.3077,0.3584,0.0625
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,javascript,OS,0.0241,0.2366,0.8557,0.6979,0.5498,0.3077,0.3584,0.0625
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,javascript,FS,0.0241,0.2366,0.8557,0.6979,0.5498,0.3077,0.3584,0.0625
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,javascript,ZS,0.0203,0.2113,0.8428,0.7986,0.6347,0.1154,0.2498,0.12
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,javascript,OS,0.0189,0.2095,0.8526,0.6209,0.5092,0.0769,0.4056,0.085
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,javascript,FS,0.0191,0.2035,0.8556,0.5254,0.2731,0.0769,0.5709,0.0275
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,javascript,ZS,0.0246,0.23,0.8463,0.838,0.6347,0.2308,0.2347,0.1075
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,javascript,OS,0.0237,0.2197,0.8511,0.6268,0.6125,0.2308,0.3746,0.0625
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,javascript,FS,0.0244,0.2287,0.8551,0.695,0.5277,0.1538,0.3593,0.0325
commercial-new,deepseek-chat,python,ZS,0.0229,0.2513,0.8662,0.3876,0.365,0.1875,0.6053,0.0175
commercial-new,deepseek-chat,python,OS,0.0251,0.2508,0.8691,0.309,0.208,0.0625,0.7193,0.0075
commercial-new,deepseek-chat,python,FS,0.0233,0.2552,0.8662,0.3464,0.3248,0.1719,0.6503,0.02
commercial-new,gemini-3-flash-preview,python,ZS,0.0225,0.2485,0.8664,0.3693,0.3796,0.0625,0.6223,0.005
commercial-new,gemini-3-flash-preview,python,OS,0.0223,0.2519,0.8673,0.3765,0.354,0.0312,0.6379,0.0075
commercial-new,gemini-3-flash-preview,python,FS,0.0229,0.253,0.8672,0.3667,0.3394,0.0938,0.6388,0.0125
commercial-new,gpt-5.1,python,ZS,0.0223,0.2535,0.8655,0.504,0.635,0.2812,0.4428,0.0175
commercial-new,gpt-5.1,python,OS,0.0218,0.2507,0.8653,0.4589,0.5839,0.3281,0.4899,0.02
commercial-new,gpt-5.1,python,FS,0.019,0.242,0.8644,0.4867,0.5912,0.4219,0.4622,0.0175
commercial-new,gpt-5.1-codex,python,ZS,0.0172,0.2294,0.8612,0.5639,0.5328,0.4531,0.4297,0.01
commercial-new,gpt-5.1-codex,python,OS,0.0164,0.222,0.8599,0.5888,0.4745,0.4688,0.4207,0.0125
commercial-new,gpt-5.1-codex,python,FS,0.017,0.217,0.8603,0.553,0.4526,0.375,0.4718,0.0175
open-source,Qwen/Qwen2.5-1.5B-Instruct,python,ZS,0.0206,0.2283,0.8637,0.3032,0.3102,0.0312,0.7128,0.0125
open-source,Qwen/Qwen2.5-1.5B-Instruct,python,OS,0.0215,0.2246,0.866,0.5574,0.1277,0.0156,0.615,0.025
open-source,Qwen/Qwen2.5-1.5B-Instruct,python,FS,0.0202,0.2292,0.8644,0.3314,0.2372,0.0625,0.7084,0.025
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,python,ZS,0.0151,0.1997,0.8527,0.6123,0.4672,0.0938,0.4561,0.0525
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,python,OS,0.0248,0.2324,0.8631,0.5805,0.1058,0.0,0.6232,0.0175
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,python,FS,0.0218,0.223,0.8635,0.441,0.3431,0.0156,0.6012,0.03
open-source,google/codegemma-2b,python,ZS,0.0141,0.1672,0.8429,0.3087,0.3577,0.0156,0.6782,0.0875
open-source,google/codegemma-2b,python,OS,0.0233,0.2181,0.8542,0.4606,0.1277,0.0,0.6916,0.0125
open-source,google/codegemma-2b,python,FS,0.0172,0.1838,0.8501,0.2596,0.1241,0.0,0.8054,0.015
open-source,google/gemma-2-2b-it,python,ZS,0.0202,0.2308,0.8654,0.3619,0.427,0.1094,0.616,0.015
open-source,google/gemma-2-2b-it,python,OS,0.0276,0.256,0.8625,0.6119,0.2153,0.0,0.5373,0.0125
open-source,google/gemma-2-2b-it,python,FS,0.0307,0.2649,0.8656,0.5617,0.2628,0.0312,0.5563,0.0175
open-source-fine-tuned,codegemma_2b_lora_multilang,python,ZS,0.0356,0.2892,0.872,0.6211,0.4635,0.0938,0.4406,0.0775
open-source-fine-tuned,codegemma_2b_lora_multilang,python,OS,0.0325,0.266,0.8673,0.5226,0.2664,0.0117,0.5807,0.015
open-source-fine-tuned,codegemma_2b_lora_multilang,python,FS,0.036,0.2689,0.8704,0.4052,0.281,0.0156,0.6435,0.025
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,python,ZS,0.0351,0.2872,0.8709,0.5737,0.4964,0.0781,0.4609,0.0875
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,python,OS,0.0351,0.2872,0.8709,0.5737,0.4964,0.0781,0.4609,0.0875
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,python,FS,0.0351,0.2872,0.8709,0.5737,0.4964,0.0781,0.4609,0.0875
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,python,ZS,0.0279,0.2495,0.8629,0.6396,0.4745,0.0625,0.4265,0.195
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,python,OS,0.0223,0.2176,0.8642,0.2779,0.2117,0.0859,0.7393,0.0475
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,python,FS,0.0226,0.2289,0.8674,0.3114,0.2701,0.0156,0.6939,0.0275
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,python,ZS,0.0336,0.2745,0.8703,0.6626,0.5182,0.0469,0.3983,0.165
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,python,OS,0.0265,0.2439,0.8677,0.3885,0.3321,0.0625,0.6311,0.0275
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,python,FS,0.0253,0.2401,0.8692,0.3223,0.2993,0.0469,0.6749,0.0225
