condition_id,model_slug,language,prompt_slug,condition_path,run_manifest,validation_status
gemini_3_flash__java__os,gemini_3_flash,java,os,experiments/core_400/gemini_3_flash/java/os,experiments/core_400/gemini_3_flash/java/os/run_manifest.json,PASS
gemini_3_flash__java__zs,gemini_3_flash,java,zs,experiments/core_400/gemini_3_flash/java/zs,experiments/core_400/gemini_3_flash/java/zs/run_manifest.json,PASS
gemini_3_flash__javascript__fs,gemini_3_flash,javascript,fs,experiments/core_400/gemini_3_flash/javascript/fs,experiments/core_400/gemini_3_flash/javascript/fs/run_manifest.json,PASS
gemini_3_flash__javascript__os,gemini_3_flash,javascript,os,experiments/core_400/gemini_3_flash/javascript/os,experiments/core_400/gemini_3_flash/javascript/os/run_manifest.json,PASS
gemini_3_flash__javascript__zs,gemini_3_flash,javascript,zs,experiments/core_400/gemini_3_flash/javascript/zs,experiments/core_400/gemini_3_flash/javascript/zs/run_manifest.json,PASS
gemini_3_flash__python__fs,gemini_3_flash,python,fs,experiments/core_400/gemini_3_flash/python/fs,experiments/core_400/gemini_3_flash/python/fs/run_manifest.json,PASS
gemini_3_flash__python__os,gemini_3_flash,python,os,experiments/core_400/gemini_3_flash/python/os,experiments/core_400/gemini_3_flash/python/os/run_manifest.json,PASS
gemini_3_flash__python__zs,gemini_3_flash,python,zs,experiments/core_400/gemini_3_flash/python/zs,experiments/core_400/gemini_3_flash/python/zs/run_manifest.json,PASS
gpt_5_1__java__fs,gpt_5_1,java,fs,experiments/core_400/gpt_5_1/java/fs,experiments/core_400/gpt_5_1/java/fs/run_manifest.json,PASS
gpt_5_1__java__os,gpt_5_1,java,os,experiments/core_400/gpt_5_1/java/os,experiments/core_400/gpt_5_1/java/os/run_manifest.json,PASS
gpt_5_1__java__zs,gpt_5_1,java,zs,experiments/core_400/gpt_5_1/java/zs,experiments/core_400/gpt_5_1/java/zs/run_manifest.json,PASS
gpt_5_1__javascript__fs,gpt_5_1,javascript,fs,experiments/core_400/gpt_5_1/javascript/fs,experiments/core_400/gpt_5_1/javascript/fs/run_manifest.json,PASS
gpt_5_1__javascript__os,gpt_5_1,javascript,os,experiments/core_400/gpt_5_1/javascript/os,experiments/core_400/gpt_5_1/javascript/os/run_manifest.json,PASS
gpt_5_1__javascript__zs,gpt_5_1,javascript,zs,experiments/core_400/gpt_5_1/javascript/zs,experiments/core_400/gpt_5_1/javascript/zs/run_manifest.json,PASS
gpt_5_1__python__fs,gpt_5_1,python,fs,experiments/core_400/gpt_5_1/python/fs,experiments/core_400/gpt_5_1/python/fs/run_manifest.json,PASS
gpt_5_1__python__os,gpt_5_1,python,os,experiments/core_400/gpt_5_1/python/os,experiments/core_400/gpt_5_1/python/os/run_manifest.json,PASS
gpt_5_1__python__zs,gpt_5_1,python,zs,experiments/core_400/gpt_5_1/python/zs,experiments/core_400/gpt_5_1/python/zs/run_manifest.json,PASS
gpt_5_1_codex__java__fs,gpt_5_1_codex,java,fs,experiments/core_400/gpt_5_1_codex/java/fs,experiments/core_400/gpt_5_1_codex/java/fs/run_manifest.json,PASS
gpt_5_1_codex__java__os,gpt_5_1_codex,java,os,experiments/core_400/gpt_5_1_codex/java/os,experiments/core_400/gpt_5_1_codex/java/os/run_manifest.json,PASS
gpt_5_1_codex__java__zs,gpt_5_1_codex,java,zs,experiments/core_400/gpt_5_1_codex/java/zs,experiments/core_400/gpt_5_1_codex/java/zs/run_manifest.json,PASS
gpt_5_1_codex__javascript__fs,gpt_5_1_codex,javascript,fs,experiments/core_400/gpt_5_1_codex/javascript/fs,experiments/core_400/gpt_5_1_codex/javascript/fs/run_manifest.json,PASS
gpt_5_1_codex__javascript__os,gpt_5_1_codex,javascript,os,experiments/core_400/gpt_5_1_codex/javascript/os,experiments/core_400/gpt_5_1_codex/javascript/os/run_manifest.json,PASS
gpt_5_1_codex__javascript__zs,gpt_5_1_codex,javascript,zs,experiments/core_400/gpt_5_1_codex/javascript/zs,experiments/core_400/gpt_5_1_codex/javascript/zs/run_manifest.json,PASS
gpt_5_1_codex__python__fs,gpt_5_1_codex,python,fs,experiments/core_400/gpt_5_1_codex/python/fs,experiments/core_400/gpt_5_1_codex/python/fs/run_manifest.json,PASS
gpt_5_1_codex__python__os,gpt_5_1_codex,python,os,experiments/core_400/gpt_5_1_codex/python/os,experiments/core_400/gpt_5_1_codex/python/os/run_manifest.json,PASS
gpt_5_1_codex__python__zs,gpt_5_1_codex,python,zs,experiments/core_400/gpt_5_1_codex/python/zs,experiments/core_400/gpt_5_1_codex/python/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__java__fs,qwen2_5_1_5b_instruct,java,fs,experiments/core_400/qwen2_5_1_5b_instruct/java/fs,experiments/core_400/qwen2_5_1_5b_instruct/java/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__java__os,qwen2_5_1_5b_instruct,java,os,experiments/core_400/qwen2_5_1_5b_instruct/java/os,experiments/core_400/qwen2_5_1_5b_instruct/java/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct__java__zs,qwen2_5_1_5b_instruct,java,zs,experiments/core_400/qwen2_5_1_5b_instruct/java/zs,experiments/core_400/qwen2_5_1_5b_instruct/java/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__javascript__fs,qwen2_5_1_5b_instruct,javascript,fs,experiments/core_400/qwen2_5_1_5b_instruct/javascript/fs,experiments/core_400/qwen2_5_1_5b_instruct/javascript/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__javascript__os,qwen2_5_1_5b_instruct,javascript,os,experiments/core_400/qwen2_5_1_5b_instruct/javascript/os,experiments/core_400/qwen2_5_1_5b_instruct/javascript/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct__javascript__zs,qwen2_5_1_5b_instruct,javascript,zs,experiments/core_400/qwen2_5_1_5b_instruct/javascript/zs,experiments/core_400/qwen2_5_1_5b_instruct/javascript/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__python__fs,qwen2_5_1_5b_instruct,python,fs,experiments/core_400/qwen2_5_1_5b_instruct/python/fs,experiments/core_400/qwen2_5_1_5b_instruct/python/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct__python__os,qwen2_5_1_5b_instruct,python,os,experiments/core_400/qwen2_5_1_5b_instruct/python/os,experiments/core_400/qwen2_5_1_5b_instruct/python/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct__python__zs,qwen2_5_1_5b_instruct,python,zs,experiments/core_400/qwen2_5_1_5b_instruct/python/zs,experiments/core_400/qwen2_5_1_5b_instruct/python/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__java__fs,qwen2_5_coder_1_5b_instruct,java,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__java__os,qwen2_5_coder_1_5b_instruct,java,os,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/os,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__java__zs,qwen2_5_coder_1_5b_instruct,java,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/java/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__javascript__fs,qwen2_5_coder_1_5b_instruct,javascript,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__javascript__os,qwen2_5_coder_1_5b_instruct,javascript,os,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/os,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__javascript__zs,qwen2_5_coder_1_5b_instruct,javascript,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/javascript/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__python__fs,qwen2_5_coder_1_5b_instruct,python,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__python__os,qwen2_5_coder_1_5b_instruct,python,os,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/os,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct__python__zs,qwen2_5_coder_1_5b_instruct,python,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct/python/zs/run_manifest.json,PASS
codegemma_2b__java__fs,codegemma_2b,java,fs,experiments/core_400/codegemma_2b/java/fs,experiments/core_400/codegemma_2b/java/fs/run_manifest.json,PASS
codegemma_2b__java__os,codegemma_2b,java,os,experiments/core_400/codegemma_2b/java/os,experiments/core_400/codegemma_2b/java/os/run_manifest.json,PASS
codegemma_2b__java__zs,codegemma_2b,java,zs,experiments/core_400/codegemma_2b/java/zs,experiments/core_400/codegemma_2b/java/zs/run_manifest.json,PASS
codegemma_2b__javascript__fs,codegemma_2b,javascript,fs,experiments/core_400/codegemma_2b/javascript/fs,experiments/core_400/codegemma_2b/javascript/fs/run_manifest.json,PASS
codegemma_2b__javascript__os,codegemma_2b,javascript,os,experiments/core_400/codegemma_2b/javascript/os,experiments/core_400/codegemma_2b/javascript/os/run_manifest.json,PASS
codegemma_2b__javascript__zs,codegemma_2b,javascript,zs,experiments/core_400/codegemma_2b/javascript/zs,experiments/core_400/codegemma_2b/javascript/zs/run_manifest.json,PASS
codegemma_2b__python__fs,codegemma_2b,python,fs,experiments/core_400/codegemma_2b/python/fs,experiments/core_400/codegemma_2b/python/fs/run_manifest.json,PASS
codegemma_2b__python__os,codegemma_2b,python,os,experiments/core_400/codegemma_2b/python/os,experiments/core_400/codegemma_2b/python/os/run_manifest.json,PASS
codegemma_2b__python__zs,codegemma_2b,python,zs,experiments/core_400/codegemma_2b/python/zs,experiments/core_400/codegemma_2b/python/zs/run_manifest.json,PASS
gemma_2_2b_it__java__fs,gemma_2_2b_it,java,fs,experiments/core_400/gemma_2_2b_it/java/fs,experiments/core_400/gemma_2_2b_it/java/fs/run_manifest.json,PASS
gemma_2_2b_it__java__os,gemma_2_2b_it,java,os,experiments/core_400/gemma_2_2b_it/java/os,experiments/core_400/gemma_2_2b_it/java/os/run_manifest.json,PASS
gemma_2_2b_it__java__zs,gemma_2_2b_it,java,zs,experiments/core_400/gemma_2_2b_it/java/zs,experiments/core_400/gemma_2_2b_it/java/zs/run_manifest.json,PASS
gemma_2_2b_it__javascript__fs,gemma_2_2b_it,javascript,fs,experiments/core_400/gemma_2_2b_it/javascript/fs,experiments/core_400/gemma_2_2b_it/javascript/fs/run_manifest.json,PASS
gemma_2_2b_it__javascript__os,gemma_2_2b_it,javascript,os,experiments/core_400/gemma_2_2b_it/javascript/os,experiments/core_400/gemma_2_2b_it/javascript/os/run_manifest.json,PASS
gemma_2_2b_it__javascript__zs,gemma_2_2b_it,javascript,zs,experiments/core_400/gemma_2_2b_it/javascript/zs,experiments/core_400/gemma_2_2b_it/javascript/zs/run_manifest.json,PASS
gemma_2_2b_it__python__fs,gemma_2_2b_it,python,fs,experiments/core_400/gemma_2_2b_it/python/fs,experiments/core_400/gemma_2_2b_it/python/fs/run_manifest.json,PASS
gemma_2_2b_it__python__os,gemma_2_2b_it,python,os,experiments/core_400/gemma_2_2b_it/python/os,experiments/core_400/gemma_2_2b_it/python/os/run_manifest.json,PASS
gemma_2_2b_it__python__zs,gemma_2_2b_it,python,zs,experiments/core_400/gemma_2_2b_it/python/zs,experiments/core_400/gemma_2_2b_it/python/zs/run_manifest.json,PASS
codegemma_2b_lora__java__fs,codegemma_2b_lora,java,fs,experiments/core_400/codegemma_2b_lora/java/fs,experiments/core_400/codegemma_2b_lora/java/fs/run_manifest.json,PASS
codegemma_2b_lora__java__os,codegemma_2b_lora,java,os,experiments/core_400/codegemma_2b_lora/java/os,experiments/core_400/codegemma_2b_lora/java/os/run_manifest.json,PASS
codegemma_2b_lora__java__zs,codegemma_2b_lora,java,zs,experiments/core_400/codegemma_2b_lora/java/zs,experiments/core_400/codegemma_2b_lora/java/zs/run_manifest.json,PASS
codegemma_2b_lora__javascript__fs,codegemma_2b_lora,javascript,fs,experiments/core_400/codegemma_2b_lora/javascript/fs,experiments/core_400/codegemma_2b_lora/javascript/fs/run_manifest.json,PASS
codegemma_2b_lora__javascript__os,codegemma_2b_lora,javascript,os,experiments/core_400/codegemma_2b_lora/javascript/os,experiments/core_400/codegemma_2b_lora/javascript/os/run_manifest.json,PASS
codegemma_2b_lora__javascript__zs,codegemma_2b_lora,javascript,zs,experiments/core_400/codegemma_2b_lora/javascript/zs,experiments/core_400/codegemma_2b_lora/javascript/zs/run_manifest.json,PASS
codegemma_2b_lora__python__fs,codegemma_2b_lora,python,fs,experiments/core_400/codegemma_2b_lora/python/fs,experiments/core_400/codegemma_2b_lora/python/fs/run_manifest.json,PASS
codegemma_2b_lora__python__os,codegemma_2b_lora,python,os,experiments/core_400/codegemma_2b_lora/python/os,experiments/core_400/codegemma_2b_lora/python/os/run_manifest.json,PASS
codegemma_2b_lora__python__zs,codegemma_2b_lora,python,zs,experiments/core_400/codegemma_2b_lora/python/zs,experiments/core_400/codegemma_2b_lora/python/zs/run_manifest.json,PASS
gemma_2_2b_it_lora__java__fs,gemma_2_2b_it_lora,java,fs,experiments/core_400/gemma_2_2b_it_lora/java/fs,experiments/core_400/gemma_2_2b_it_lora/java/fs/run_manifest.json,PASS
gemma_2_2b_it_lora__java__os,gemma_2_2b_it_lora,java,os,experiments/core_400/gemma_2_2b_it_lora/java/os,experiments/core_400/gemma_2_2b_it_lora/java/os/run_manifest.json,PASS
gemma_2_2b_it_lora__java__zs,gemma_2_2b_it_lora,java,zs,experiments/core_400/gemma_2_2b_it_lora/java/zs,experiments/core_400/gemma_2_2b_it_lora/java/zs/run_manifest.json,PASS
gemma_2_2b_it_lora__javascript__fs,gemma_2_2b_it_lora,javascript,fs,experiments/core_400/gemma_2_2b_it_lora/javascript/fs,experiments/core_400/gemma_2_2b_it_lora/javascript/fs/run_manifest.json,PASS
gemma_2_2b_it_lora__javascript__os,gemma_2_2b_it_lora,javascript,os,experiments/core_400/gemma_2_2b_it_lora/javascript/os,experiments/core_400/gemma_2_2b_it_lora/javascript/os/run_manifest.json,PASS
gemma_2_2b_it_lora__javascript__zs,gemma_2_2b_it_lora,javascript,zs,experiments/core_400/gemma_2_2b_it_lora/javascript/zs,experiments/core_400/gemma_2_2b_it_lora/javascript/zs/run_manifest.json,PASS
gemma_2_2b_it_lora__python__fs,gemma_2_2b_it_lora,python,fs,experiments/core_400/gemma_2_2b_it_lora/python/fs,experiments/core_400/gemma_2_2b_it_lora/python/fs/run_manifest.json,PASS
gemma_2_2b_it_lora__python__os,gemma_2_2b_it_lora,python,os,experiments/core_400/gemma_2_2b_it_lora/python/os,experiments/core_400/gemma_2_2b_it_lora/python/os/run_manifest.json,PASS
gemma_2_2b_it_lora__python__zs,gemma_2_2b_it_lora,python,zs,experiments/core_400/gemma_2_2b_it_lora/python/zs,experiments/core_400/gemma_2_2b_it_lora/python/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__java__fs,qwen2_5_1_5b_instruct_lora,java,fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__java__os,qwen2_5_1_5b_instruct_lora,java,os,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/os,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__java__zs,qwen2_5_1_5b_instruct_lora,java,zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/java/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__javascript__fs,qwen2_5_1_5b_instruct_lora,javascript,fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__javascript__os,qwen2_5_1_5b_instruct_lora,javascript,os,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/os,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__javascript__zs,qwen2_5_1_5b_instruct_lora,javascript,zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/javascript/zs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__python__fs,qwen2_5_1_5b_instruct_lora,python,fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/fs,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/fs/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__python__os,qwen2_5_1_5b_instruct_lora,python,os,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/os,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/os/run_manifest.json,PASS
qwen2_5_1_5b_instruct_lora__python__zs,qwen2_5_1_5b_instruct_lora,python,zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/zs,experiments/core_400/qwen2_5_1_5b_instruct_lora/python/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__java__fs,qwen2_5_coder_1_5b_instruct_lora,java,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__java__os,qwen2_5_coder_1_5b_instruct_lora,java,os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__java__zs,qwen2_5_coder_1_5b_instruct_lora,java,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/java/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__javascript__fs,qwen2_5_coder_1_5b_instruct_lora,javascript,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__javascript__os,qwen2_5_coder_1_5b_instruct_lora,javascript,os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__javascript__zs,qwen2_5_coder_1_5b_instruct_lora,javascript,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/javascript/zs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__python__fs,qwen2_5_coder_1_5b_instruct_lora,python,fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/fs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/fs/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__python__os,qwen2_5_coder_1_5b_instruct_lora,python,os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/os,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/os/run_manifest.json,PASS
qwen2_5_coder_1_5b_instruct_lora__python__zs,qwen2_5_coder_1_5b_instruct_lora,python,zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/zs,experiments/core_400/qwen2_5_coder_1_5b_instruct_lora/python/zs/run_manifest.json,PASS
