logical_group,model_slug,language,prompt_regime,artefact_type,candidate_sample_count,size_bytes,sha256,diagnostic_markers,source_relative_path
10,codegemma_2b,java,ZS,code_grounded_summary,400,1098,abeaa11e25116daff3b92f709c9210e11f9a9244b1f86f5333a9f94a23227c15,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_summary.json
10,codegemma_2b,java,ZS,code_grounded_summary,400,1293,42d3018bab38709bd5a4483f649724afe354d0653ad3d21bab25c90a96aef636,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_java_400_v1_code_grounded_summary.json
11,codegemma_2b,java,ZS,raw_generation,400,478244,986090993b79d21a78ecc0c66b6398718c896b5eb30174f0f42bd0ecc53501a5,,outputs/raw_generations/codegemma_2b_P1_zero_shot_java_400_v1.jsonl
11,codegemma_2b,java,ZS,raw_generation,400,478244,986090993b79d21a78ecc0c66b6398718c896b5eb30174f0f42bd0ecc53501a5,,outputs/raw_generations/open-source/codegemma_2b_P1_zero_shot_java_400_v1.jsonl
12,codegemma_2b,javascript,FS,code_grounded_detailed,400,348584,ef5885cd9f1741edca418ec8cd9f7b22c47041f176d1d2dbbf31c04d0787f8aa,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_code_grounded_detailed.jsonl
12,codegemma_2b,javascript,FS,code_grounded_detailed,400,360312,36559f6ad4e3a6ce12b6bc25b5f53e8b06ec458ec295de285743c99e587ad5b4,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_detailed.jsonl
12,codegemma_2b,javascript,FS,code_grounded_detailed,400,348584,ef5885cd9f1741edca418ec8cd9f7b22c47041f176d1d2dbbf31c04d0787f8aa,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_code_grounded_detailed.jsonl
13,codegemma_2b,javascript,FS,code_grounded_summary,400,1308,fab874f281d2e0192aee7fa46b49667d70edce287234d3434e66f6d0a36d15f0,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_code_grounded_summary.json
13,codegemma_2b,javascript,FS,code_grounded_summary,400,1109,2b668f13e67a2529a0a2b52276b684dc5a9ec8410d6b5a8ad52b30bcd3522aca,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_summary.json
13,codegemma_2b,javascript,FS,code_grounded_summary,400,1308,fab874f281d2e0192aee7fa46b49667d70edce287234d3434e66f6d0a36d15f0,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_javascript_400_v1_code_grounded_summary.json
14,codegemma_2b,javascript,FS,raw_generation,400,406951,73e82d9068f1af0acefc5462fb3fb0bb53e80829f9b8a91bcd482582ab811859,,outputs/raw_generations/codegemma_2b_P1_few_shot_javascript_400_v1.jsonl
14,codegemma_2b,javascript,FS,raw_generation,400,406951,73e82d9068f1af0acefc5462fb3fb0bb53e80829f9b8a91bcd482582ab811859,,outputs/raw_generations/open-source/codegemma_2b_P1_few_shot_javascript_400_v1.jsonl
15,codegemma_2b,javascript,OS,automatic_evaluation_detailed,400,309365,59ba00086121d9034f7191ebad084240a6bac657ed093be3770984241ab07de2,,outputs/evaluations/codegemma_2b_P1_one_shot_javascript_400_v1_eval.json_detailed.jsonl
15,codegemma_2b,javascript,OS,automatic_evaluation_detailed,400,309365,59ba00086121d9034f7191ebad084240a6bac657ed093be3770984241ab07de2,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_javascript_400_v1_eval.json_detailed.jsonl
16,codegemma_2b,javascript,OS,automatic_evaluation_summary,400,1095,2dc8ea66e1f1b9ebd5620b3f5557289e2d2d2501acbea435579ad650ef084494,,outputs/evaluations/codegemma_2b_P1_one_shot_javascript_400_v1_eval.json_summary.json
16,codegemma_2b,javascript,OS,automatic_evaluation_summary,400,1095,2dc8ea66e1f1b9ebd5620b3f5557289e2d2d2501acbea435579ad650ef084494,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_javascript_400_v1_eval.json_summary.json
17,codegemma_2b,javascript,OS,code_grounded_detailed,400,302086,20681fdb5af6f185e7e7b32551f09b45b20bf62fb0ca40d141cff40bda6a0d01,,outputs/correctness/codegemma_2b_P1_one_shot_javascript_400_v1_correctness.json_detailed.jsonl
17,codegemma_2b,javascript,OS,code_grounded_detailed,400,302086,20681fdb5af6f185e7e7b32551f09b45b20bf62fb0ca40d141cff40bda6a0d01,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_code_grounded_detailed.jsonl
17,codegemma_2b,javascript,OS,code_grounded_detailed,400,309372,f6e8bb4526627706d7897c0bdad20e7700d8c3169ad0e00f1555357250954f80,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_detailed.jsonl
17,codegemma_2b,javascript,OS,code_grounded_detailed,400,302086,20681fdb5af6f185e7e7b32551f09b45b20bf62fb0ca40d141cff40bda6a0d01,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_javascript_400_v1_correctness.json_detailed.jsonl
17,codegemma_2b,javascript,OS,code_grounded_detailed,400,302086,20681fdb5af6f185e7e7b32551f09b45b20bf62fb0ca40d141cff40bda6a0d01,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_code_grounded_detailed.jsonl
18,codegemma_2b,javascript,OS,code_grounded_summary,400,1292,35cc11353143fa5d6d048fce9338be686c14b46ef3df1a2def8a6478d1bb847c,,outputs/correctness/codegemma_2b_P1_one_shot_javascript_400_v1_correctness.json_summary.json
18,codegemma_2b,javascript,OS,code_grounded_summary,400,1304,d5bdba4fc2d2677033d1acf0b3d12c0b310f26bd9f6109f57984e16c63feb5ae,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_code_grounded_summary.json
18,codegemma_2b,javascript,OS,code_grounded_summary,400,1107,7db8ffaf0fff4563c549925108807f975caa13a99fc737a27bc8bbd19f9d51db,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_summary.json
18,codegemma_2b,javascript,OS,code_grounded_summary,400,1292,35cc11353143fa5d6d048fce9338be686c14b46ef3df1a2def8a6478d1bb847c,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_javascript_400_v1_correctness.json_summary.json
18,codegemma_2b,javascript,OS,code_grounded_summary,400,1304,d5bdba4fc2d2677033d1acf0b3d12c0b310f26bd9f6109f57984e16c63feb5ae,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_javascript_400_v1_code_grounded_summary.json
19,codegemma_2b,javascript,OS,raw_generation,400,171378,591e88ed44d9d9ead90b331a459e50cb1dee4e825610cd554a11d546a27cb8b1,,outputs/raw_generations/codegemma_2b_P1_one_shot_javascript_400_v1.jsonl
19,codegemma_2b,javascript,OS,raw_generation,400,171378,591e88ed44d9d9ead90b331a459e50cb1dee4e825610cd554a11d546a27cb8b1,,outputs/raw_generations/open-source/codegemma_2b_P1_one_shot_javascript_400_v1.jsonl
20,codegemma_2b,javascript,ZS,code_grounded_detailed,400,403571,0854f636bbee16b8d60acd142650f5a9ef876145693e6d75c0e2f57ed823ff1a,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_code_grounded_detailed.jsonl
20,codegemma_2b,javascript,ZS,code_grounded_detailed,400,410812,4bbc547dffaf836cf0e3259076153a99ea056e7c211da0b21b87ff728890d44f,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_detailed.jsonl
20,codegemma_2b,javascript,ZS,code_grounded_detailed,400,403571,0854f636bbee16b8d60acd142650f5a9ef876145693e6d75c0e2f57ed823ff1a,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_code_grounded_detailed.jsonl
21,codegemma_2b,javascript,ZS,code_grounded_summary,400,1313,3a95431de2137d6e4a22072134b517d506942e8e3a6436d196239334f3083ae1,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_code_grounded_summary.json
21,codegemma_2b,javascript,ZS,code_grounded_summary,400,1108,717a294d250dce3e086624ce0f09a717a65c79e0863f68842ee3b2cefcffdc9f,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_summary.json
21,codegemma_2b,javascript,ZS,code_grounded_summary,400,1313,3a95431de2137d6e4a22072134b517d506942e8e3a6436d196239334f3083ae1,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1_code_grounded_summary.json
22,codegemma_2b,javascript,ZS,raw_generation,400,464171,4254c5d2d793f05efba5e199387e42b14b5745a60efcdc420f237133ba802796,,outputs/raw_generations/codegemma_2b_P1_zero_shot_javascript_400_v1.jsonl
22,codegemma_2b,javascript,ZS,raw_generation,400,464171,4254c5d2d793f05efba5e199387e42b14b5745a60efcdc420f237133ba802796,,outputs/raw_generations/open-source/codegemma_2b_P1_zero_shot_javascript_400_v1.jsonl
23,codegemma_2b,python,FS,code_grounded_detailed,400,326577,02d09b8247d410e3909d277d829917696e1c22864df3ede154931df38e179126,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_code_grounded_detailed.jsonl
23,codegemma_2b,python,FS,code_grounded_detailed,400,338879,eff1b220fad614e7712543f80dcfc1f3e697f43095af669354352cc4d03c6389,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_detailed.jsonl
23,codegemma_2b,python,FS,code_grounded_detailed,400,326577,02d09b8247d410e3909d277d829917696e1c22864df3ede154931df38e179126,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_code_grounded_detailed.jsonl
24,codegemma_2b,python,FS,code_grounded_summary,400,1262,6da5c7930a65e23f7de0e770c13788dbade54f5c5cb8a979d170cc59587742e7,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_code_grounded_summary.json
24,codegemma_2b,python,FS,code_grounded_summary,400,1099,04f34779ce0fc26a7f172bde070b698dda16e2b9c8a9a4184b8828c02466483d,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_summary.json
24,codegemma_2b,python,FS,code_grounded_summary,400,1262,6da5c7930a65e23f7de0e770c13788dbade54f5c5cb8a979d170cc59587742e7,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_few_shot_python_400_v1_code_grounded_summary.json
25,codegemma_2b,python,FS,raw_generation,400,385159,6467f14b8028bf7a8ed9f44706de59041310c6d7b160bdd1af2ebe7c637c4182,,outputs/raw_generations/codegemma_2b_P1_few_shot_python_400_v1.jsonl
25,codegemma_2b,python,FS,raw_generation,400,385159,6467f14b8028bf7a8ed9f44706de59041310c6d7b160bdd1af2ebe7c637c4182,,outputs/raw_generations/open-source/codegemma_2b_P1_few_shot_python_400_v1.jsonl
26,codegemma_2b,python,OS,automatic_evaluation_detailed,400,334979,7968b1001183f40ddae91ccf9e031c644c83346905efc687170a21049a155493,,outputs/evaluations/codegemma_2b_P1_one_shot_python_400_v1_eval.json_detailed.jsonl
26,codegemma_2b,python,OS,automatic_evaluation_detailed,400,334979,7968b1001183f40ddae91ccf9e031c644c83346905efc687170a21049a155493,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_python_400_v1_eval.json_detailed.jsonl
27,codegemma_2b,python,OS,automatic_evaluation_summary,400,1085,e3ca0b8c45583d77aa93afd4775c4ef09541c363e47cb50450f3094ee9d66e38,,outputs/evaluations/codegemma_2b_P1_one_shot_python_400_v1_eval.json_summary.json
27,codegemma_2b,python,OS,automatic_evaluation_summary,400,1085,e3ca0b8c45583d77aa93afd4775c4ef09541c363e47cb50450f3094ee9d66e38,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_one_shot_python_400_v1_eval.json_summary.json
28,codegemma_2b,python,OS,code_grounded_detailed,400,323794,a0cea129292a615cfe0daab4bc941c7f3c2d61a703f9e35079a5447b6e74d9ff,,outputs/correctness/codegemma_2b_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl
28,codegemma_2b,python,OS,code_grounded_detailed,400,323794,a0cea129292a615cfe0daab4bc941c7f3c2d61a703f9e35079a5447b6e74d9ff,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl
28,codegemma_2b,python,OS,code_grounded_detailed,400,334977,2467a4422d99f4f7631acf766cdb2a8cc81009f76937751c5e7e184d252890cb,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_detailed.jsonl
28,codegemma_2b,python,OS,code_grounded_detailed,400,323794,a0cea129292a615cfe0daab4bc941c7f3c2d61a703f9e35079a5447b6e74d9ff,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_python_400_v1_correctness.json_detailed.jsonl
28,codegemma_2b,python,OS,code_grounded_detailed,400,323794,a0cea129292a615cfe0daab4bc941c7f3c2d61a703f9e35079a5447b6e74d9ff,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_code_grounded_detailed.jsonl
29,codegemma_2b,python,OS,code_grounded_summary,400,1254,f06bd62062e0d132d8b3cf215fe434ab09119ae26a271b006a9c2f7506e36435,,outputs/correctness/codegemma_2b_P1_one_shot_python_400_v1_correctness.json_summary.json
29,codegemma_2b,python,OS,code_grounded_summary,400,1266,12dbe033103591cee6f1fc5c01ca9f6e853732e4aedd81e8a3c45d5930325d7d,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_code_grounded_summary.json
29,codegemma_2b,python,OS,code_grounded_summary,400,1097,148c3e3d401047426949a75f7309fd3e5a4a8768fc5e659bf07d0a57d89cb6a7,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_summary.json
29,codegemma_2b,python,OS,code_grounded_summary,400,1254,f06bd62062e0d132d8b3cf215fe434ab09119ae26a271b006a9c2f7506e36435,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_one_shot_python_400_v1_correctness.json_summary.json
29,codegemma_2b,python,OS,code_grounded_summary,400,1266,12dbe033103591cee6f1fc5c01ca9f6e853732e4aedd81e8a3c45d5930325d7d,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_one_shot_python_400_v1_code_grounded_summary.json
30,codegemma_2b,python,OS,raw_generation,400,196684,9fa08caa9a7876afae60171390b1d43ca4c35441b1bd7b88c5dfffe2fbc3bf20,,outputs/raw_generations/codegemma_2b_P1_one_shot_python_400_v1.jsonl
30,codegemma_2b,python,OS,raw_generation,400,196684,9fa08caa9a7876afae60171390b1d43ca4c35441b1bd7b88c5dfffe2fbc3bf20,,outputs/raw_generations/open-source/codegemma_2b_P1_one_shot_python_400_v1.jsonl
31,codegemma_2b,python,ZS,automatic_evaluation_detailed,300,242706,c7301992880fe72418325a21f64c617307ac31bca96998f1db5b4497597c7702,,outputs/evaluations/codegemma_2b_P1_zero_shot_python_300_ZS_v3_detailed.jsonl
31,codegemma_2b,python,ZS,automatic_evaluation_detailed,300,249788,0e7a82823030e0053364c97ae835286c42b196835a3ed2c2cab96e0ec122fc1e,,outputs/evaluations/codegemma_2b_P1_zero_shot_python_300_ZS_v3_eval.json_detailed.jsonl
31,codegemma_2b,python,ZS,automatic_evaluation_detailed,300,242706,c7301992880fe72418325a21f64c617307ac31bca96998f1db5b4497597c7702,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_zero_shot_python_300_ZS_v3_detailed.jsonl
31,codegemma_2b,python,ZS,automatic_evaluation_detailed,300,249788,0e7a82823030e0053364c97ae835286c42b196835a3ed2c2cab96e0ec122fc1e,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_zero_shot_python_300_ZS_v3_eval.json_detailed.jsonl
32,codegemma_2b,python,ZS,automatic_evaluation_summary,300,1087,ca385030758da292b4c77bad3fc2f37c14091c5bb2eddbcdffdbb80b35012272,,outputs/evaluations/codegemma_2b_P1_zero_shot_python_300_ZS_v3_eval.json_summary.json
32,codegemma_2b,python,ZS,automatic_evaluation_summary,300,1009,4084180e182570326f0d869a1cc6100ce56daf30ca05f080761ddfbaaec5ed05,,outputs/evaluations/codegemma_2b_P1_zero_shot_python_300_ZS_v3_summary.json
32,codegemma_2b,python,ZS,automatic_evaluation_summary,300,1087,ca385030758da292b4c77bad3fc2f37c14091c5bb2eddbcdffdbb80b35012272,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_zero_shot_python_300_ZS_v3_eval.json_summary.json
32,codegemma_2b,python,ZS,automatic_evaluation_summary,300,1009,4084180e182570326f0d869a1cc6100ce56daf30ca05f080761ddfbaaec5ed05,,outputs/segregated_results/open-source-base/eval/codegemma_2b_P1_zero_shot_python_300_ZS_v3_summary.json
33,codegemma_2b,python,ZS,code_grounded_detailed,300,244646,8cdb18445fbaeb244de1a7f6d4d5b3146e3957a9df9cdebe50974d18814770fe,,outputs/correctness/codegemma_2b_P1_zero_shot_python_300_ZS_v3_correctness.json_detailed.jsonl
33,codegemma_2b,python,ZS,code_grounded_detailed,300,249789,825d0a07a9eb635f98d23eee434a1d662184ca99cc67827477a8e57ce59abd4a,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_300_ZS_v3_detailed.jsonl
33,codegemma_2b,python,ZS,code_grounded_detailed,400,319683,fb11e9bb5fa5298c805bfb3f7b0424b7f7dd8dd678c6603249b42038d65c7114,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
33,codegemma_2b,python,ZS,code_grounded_detailed,400,327825,9be900dd892991ebf044d2f8a834103dbe6c9b51e770dcb06eed1d543e74dcb8,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_detailed.jsonl
33,codegemma_2b,python,ZS,code_grounded_detailed,300,244646,8cdb18445fbaeb244de1a7f6d4d5b3146e3957a9df9cdebe50974d18814770fe,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_zero_shot_python_300_ZS_v3_correctness.json_detailed.jsonl
33,codegemma_2b,python,ZS,code_grounded_detailed,400,319683,fb11e9bb5fa5298c805bfb3f7b0424b7f7dd8dd678c6603249b42038d65c7114,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_code_grounded_detailed.jsonl
34,codegemma_2b,python,ZS,code_grounded_summary,300,1248,5bb9f73ca021d16df44a2db5cd629681bda1a472438e9f3af6328c1edf58ab9e,,outputs/correctness/codegemma_2b_P1_zero_shot_python_300_ZS_v3_correctness.json_summary.json
34,codegemma_2b,python,ZS,code_grounded_summary,300,1099,b95eb020d433912112772760366f0da41d2ae49b3c40fcf4ec6e7fac30251f47,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_300_ZS_v3_summary.json
34,codegemma_2b,python,ZS,code_grounded_summary,400,1283,91685ffcd58a86493b839bcbec6d73809060e52eca0fc042c06bfe2012ff9791,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_code_grounded_summary.json
34,codegemma_2b,python,ZS,code_grounded_summary,400,1096,e6910e5259c997ff33c8e398111a6ca23886629d0b10627d83a95514a504ba0a,,outputs/evaluation-and-correctness-may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_summary.json
34,codegemma_2b,python,ZS,code_grounded_summary,300,1248,5bb9f73ca021d16df44a2db5cd629681bda1a472438e9f3af6328c1edf58ab9e,,outputs/segregated_results/open-source-base/correctness/codegemma_2b_P1_zero_shot_python_300_ZS_v3_correctness.json_summary.json
34,codegemma_2b,python,ZS,code_grounded_summary,400,1283,91685ffcd58a86493b839bcbec6d73809060e52eca0fc042c06bfe2012ff9791,,outputs/segregated_results/open-source-base/may2026/open-source/codegemma_2b_P1_zero_shot_python_400_v1_code_grounded_summary.json
35,codegemma_2b,python,ZS,raw_generation,300,149514,a64c4721f44f0b855719fa147a8b38460f1e8223ca0d730873e6699e2e1414b4,,outputs/raw_generations/codegemma_2b_P1_zero_shot_python_300_ZS_v3.jsonl
